,action1,action3,action5
797,25.0,26.0,25.0
798,25.0,26.0,25.0
799,25.0,26.0,25.0
800,25.5,26.0,25.5
801,25.5,26.0,25.5
802,25.0,26.0,25.0
803,25.0,26.0,25.0
804,25.0,26.0,25.0
805,25.0,26.0,25.0
806,25.0,26.0,25.0
807,25.0,26.0,25.0
808,25.0,26.0,25.0
809,25.5,26.0,27.0
810,25.5,26.0,27.0
811,26.5,25.5,26.0
812,27.0,25.5,27.0
813,27.0,25.5,27.0
814,27.0,25.5,27.0
815,25.5,27.0,26.5
816,27.0,25.5,25.0
817,27.0,25.5,25.0
818,25.5,26.0,26.0
819,25.5,26.0,26.0
820,25.5,26.0,26.0
821,25.5,26.0,26.0
822,25.5,26.0,26.0
823,25.5,26.0,26.0
824,25.5,26.0,26.0
825,26.0,25.5,26.0
826,26.0,25.5,26.0
827,26.0,25.5,26.0
828,26.0,25.5,26.0
829,26.0,25.5,26.0
830,26.0,25.5,26.0
831,26.0,25.5,26.0
832,26.0,25.5,26.0
833,26.0,25.5,26.0
834,25.0,26.5,24.5
835,25.0,26.5,24.5
836,25.0,26.5,24.5
837,25.0,26.5,24.5
838,25.0,26.5,24.5
839,25.0,26.5,24.5
840,25.0,26.5,24.5
841,25.0,26.5,24.5
842,25.0,26.5,24.5
843,25.5,27.0,25.5
844,25.5,27.0,25.5
845,25.5,27.0,25.5
846,25.5,27.0,25.5
847,25.5,27.0,25.5
848,25.5,27.0,25.5
849,25.5,27.0,25.5
850,25.5,27.0,25.5
851,25.5,27.0,25.5
852,25.5,27.0,25.5
853,25.5,27.0,25.5
854,25.5,25.5,26.0
855,25.5,26.5,26.5
856,25.5,26.5,26.5
857,25.5,26.5,26.5
858,25.5,26.5,26.5
859,25.5,26.5,26.5
860,25.5,26.5,26.5
861,25.5,26.5,26.5
862,25.5,26.5,26.5
863,25.5,26.5,26.5
864,25.5,26.5,26.5
865,25.5,26.5,26.5
866,25.0,26.5,25.0
867,25.0,26.5,25.0
868,25.0,26.5,25.0
869,25.0,26.5,25.0
870,25.0,26.5,25.0
871,25.5,25.5,25.5
872,25.5,25.5,25.5
873,25.5,25.5,25.5
874,25.5,25.5,25.5
875,25.5,25.5,25.5
876,25.5,25.5,25.5
877,25.5,25.5,25.5
878,25.5,26.5,25.5
879,25.5,26.5,25.5
880,25.5,26.5,25.5
881,25.5,25.0,26.5
882,25.5,25.0,26.5
883,25.5,25.0,26.5
884,25.5,25.0,26.5
885,25.5,25.0,26.5
886,25.5,25.0,26.5
887,25.5,25.0,26.5
888,25.5,25.0,26.5
889,25.5,25.0,26.5
890,25.5,25.0,26.5
891,25.5,25.0,26.5
892,25.5,25.0,26.5
893,25.5,25.0,26.5
894,25.5,25.0,26.5
895,25.5,27.0,25.5
896,25.5,26.0,25.5
897,25.5,26.0,25.5
898,25.5,26.0,25.5
899,25.5,26.0,25.5
900,25.5,26.0,25.5
901,25.5,26.0,25.5
902,25.5,25.5,27.0
903,25.5,25.5,27.0
904,25.5,25.5,27.0
905,25.5,25.5,27.0
906,25.0,26.5,24.5
907,25.0,26.5,24.5
908,25.0,26.5,24.5
909,25.0,26.5,24.5
910,26.0,25.5,24.5
911,25.0,25.0,24.5
912,25.0,25.0,24.5
913,25.0,25.0,24.5
914,25.0,25.0,24.5
915,26.0,25.5,24.5
916,27.0,25.5,25.0
917,27.0,25.5,25.0
918,25.5,25.5,25.5
919,25.5,25.5,25.5
920,25.5,25.5,25.5
921,25.5,25.5,25.5
922,25.5,25.5,25.5
923,25.5,25.5,25.5
924,25.0,25.0,26.0
925,25.0,25.0,26.0
926,25.0,25.0,26.0
927,25.0,25.0,26.0
928,25.0,25.0,26.0
929,25.0,25.0,26.0
930,25.0,25.0,26.0
931,25.0,25.0,26.0
932,25.0,25.0,26.0
933,25.0,25.0,26.0
934,26.0,25.5,24.5
935,26.0,25.5,24.5
936,26.0,25.5,24.5
937,25.5,26.0,25.5
938,25.5,26.0,25.5
939,25.5,26.0,25.5
940,25.5,26.0,25.5
941,25.5,26.0,25.5
942,25.5,26.0,25.5
943,25.5,26.0,25.5
944,25.5,25.5,25.5
945,25.5,25.5,25.5
946,25.5,26.0,25.5
947,25.5,26.5,25.5
948,25.5,26.5,25.5
949,25.5,26.5,25.5
950,25.5,25.0,26.5
951,25.5,25.0,26.5
952,25.5,25.0,26.5
953,25.5,25.0,26.5
954,25.5,25.0,26.5
955,25.5,26.5,26.5
956,25.5,26.5,26.5
957,25.5,26.5,26.5
958,25.5,26.5,26.5
959,25.5,26.5,26.5
960,25.5,26.5,26.5
961,25.5,26.5,26.5
962,25.5,26.5,26.5
963,25.5,26.5,26.5
964,27.0,25.5,25.5
965,27.0,25.5,25.5
966,27.0,25.5,25.5
967,27.0,25.5,25.5
968,27.0,25.5,25.5
969,27.0,25.5,25.5
970,27.0,25.5,25.5
971,27.0,25.5,25.5
972,25.5,27.0,25.5
973,25.5,27.0,25.5
974,25.5,26.0,26.5
975,25.5,26.0,26.5
976,25.0,25.5,24.5
977,25.0,25.5,24.5
978,25.0,25.5,24.5
979,25.0,25.5,24.5
980,25.0,25.5,24.5
981,25.0,25.5,24.5
982,25.0,25.5,24.5
983,25.0,25.5,24.5
984,25.0,25.5,24.5
985,25.0,25.5,24.5
986,25.0,25.5,24.5
987,25.0,25.5,24.5
988,25.0,25.5,24.5
989,26.5,25.5,25.5
990,26.5,25.5,25.5
991,26.5,25.5,25.5
992,26.5,25.5,25.5
993,26.5,25.5,25.5
994,26.5,25.5,25.5
995,25.0,25.5,25.0
