,action1,action2,action3
829,26.5,25.5,24.0
830,24.0,24.5,24.5
831,24.5,25.0,25.5
832,25.5,25.5,24.0
833,24.0,25.5,25.5
834,24.0,26.5,24.5
835,25.5,26.0,25.0
836,24.0,26.0,26.5
837,25.0,26.0,24.0
838,25.0,25.0,24.0
839,24.5,25.5,25.5
840,25.0,24.5,25.0
841,25.0,24.0,26.0
842,24.5,26.5,25.0
843,24.5,25.5,26.0
844,25.5,26.5,26.5
845,26.5,24.5,24.5
846,25.0,26.5,24.5
847,26.0,26.0,25.0
848,25.0,26.0,26.5
849,24.5,25.5,25.5
850,25.5,25.5,25.0
851,24.5,25.5,26.5
852,24.0,26.5,25.0
853,26.5,25.0,26.0
854,25.0,24.5,24.0
855,25.0,25.5,24.0
856,25.5,25.0,26.5
857,26.5,24.5,25.0
858,25.0,25.0,25.5
859,25.0,24.0,25.5
860,26.0,26.0,24.0
861,25.5,25.5,24.5
862,25.0,25.0,26.0
863,26.5,26.5,26.0
864,25.0,24.0,24.5
865,25.5,25.5,24.0
866,24.0,25.5,25.5
867,26.5,24.5,25.5
868,24.0,25.0,24.5
869,25.5,25.5,26.0
870,25.5,25.0,24.0
871,25.5,25.5,26.5
872,26.0,25.5,24.5
873,24.5,25.0,25.5
874,25.5,26.5,26.5
875,26.5,25.0,25.0
876,26.5,26.0,26.0
877,25.5,25.0,24.0
878,25.5,26.0,24.0
879,25.5,25.5,24.5
880,26.0,25.5,25.5
881,24.5,26.5,25.5
882,24.0,25.0,25.0
883,26.5,24.5,24.0
884,24.5,26.0,26.5
885,26.0,25.0,24.5
886,25.5,24.5,24.0
887,25.5,25.0,26.5
888,26.5,26.5,26.5
889,25.0,25.5,26.0
890,24.0,25.5,26.5
891,25.0,24.0,26.0
892,26.0,26.5,25.5
893,25.0,24.5,25.5
894,25.0,25.5,25.0
895,24.5,24.0,24.0
896,24.5,25.0,26.0
897,24.0,25.5,25.5
898,25.0,26.5,26.5
899,25.5,24.0,26.0
900,25.0,24.5,24.5
901,26.5,25.0,24.5
902,25.0,25.5,25.0
903,25.5,25.0,26.5
904,24.5,26.5,26.5
905,24.0,25.0,26.5
906,25.5,25.5,26.0
907,25.0,24.5,26.0
908,26.0,26.0,26.5
909,25.5,24.0,24.0
910,24.5,25.5,25.5
911,24.0,24.0,24.0
912,24.5,25.5,25.0
913,25.0,24.5,25.5
914,26.0,24.0,26.0
915,25.5,26.0,24.0
916,24.5,25.5,24.0
917,26.5,25.0,26.0
918,25.5,25.0,25.0
919,25.5,26.0,26.5
920,26.5,25.5,25.5
921,26.5,24.0,26.5
922,25.0,24.5,26.5
923,24.5,25.5,25.5
924,26.5,26.0,26.0
925,24.5,24.0,26.0
926,25.5,26.5,24.5
927,25.5,26.5,26.5
928,26.5,24.0,25.0
929,24.5,25.0,26.0
930,26.0,24.0,26.5
931,25.5,24.0,25.5
932,24.0,26.0,24.5
933,26.0,25.5,26.0
934,26.0,25.5,25.5
935,24.5,24.0,25.5
936,25.0,26.0,26.0
937,24.5,24.5,26.0
938,24.0,26.0,25.0
939,25.5,26.0,25.5
940,24.0,25.5,24.0
941,26.0,25.5,25.5
942,26.0,24.0,26.0
943,26.5,26.5,25.5
944,25.5,26.5,26.5
945,24.0,25.5,26.5
946,24.5,24.0,26.5
947,24.5,26.5,26.5
948,24.5,26.5,26.0
949,26.0,25.0,24.0
950,26.0,26.5,26.0
951,24.5,24.0,24.5
952,26.0,25.5,26.5
953,24.5,24.0,24.5
954,26.0,25.5,24.0
955,25.0,25.5,26.5
956,26.5,25.5,25.5
957,25.5,25.0,26.5
958,24.0,25.5,24.5
959,26.5,26.5,26.0
960,26.0,26.0,26.5
961,24.5,26.0,24.0
962,26.0,24.5,26.0
963,26.0,26.0,25.0
964,25.0,24.0,25.0
965,25.5,25.0,25.0
966,26.0,25.5,25.5
967,25.0,26.0,26.5
968,24.0,26.5,24.0
969,25.5,24.5,26.5
970,26.0,25.5,26.0
971,24.5,26.5,25.0
972,26.0,26.0,26.5
973,25.5,25.0,26.5
974,26.5,25.0,24.0
975,25.5,26.5,25.0
976,24.0,26.0,25.0
977,24.5,24.0,24.5
978,26.5,26.0,24.5
979,24.5,24.5,25.5
980,25.0,25.5,25.0
981,25.0,26.0,26.5
982,25.5,25.5,25.0
983,26.0,25.0,24.0
984,24.0,24.0,26.0
985,25.0,26.5,25.0
986,25.0,26.5,25.0
987,25.5,25.5,26.5
988,26.5,25.5,25.5
989,25.5,25.0,24.0
990,25.5,25.0,26.0
991,25.5,26.5,24.0
992,25.5,26.0,24.0
993,25.0,26.0,24.0
994,24.0,24.0,25.5
995,26.5,25.5,26.5
